timestamp	cpu_percent	memory_usage	conntrack_count	nf_conntrack_objects	nf_conntrack_bytes	memory_current	memory_peak_cgroup	memory_anon	memory_file	memory_kernel	memory_sock	pids_current	threads_current
1788507908.522860711	5.05%	174MiB / 1GiB				183271424	183967744	180895744	16384	2629632	28672	3	1
1788507910.542778551	61.46%	290MiB / 1GiB				306475008	306786304	268955648	16384	38084608	1331200	3	1
1788507912.549054329	13.62%	363.2MiB / 1GiB				380805120	382279680	322867200	16384	57921536	0	3	1
1788507914.556606342	0.00%	363.2MiB / 1GiB				380805120	382279680	322867200	16384	57921536	0	3	1
1788507916.561264682	0.00%	363.2MiB / 1GiB				380805120	382279680	322867200	16384	57921536	0	3	1
1788507918.570555036	0.00%	363.2MiB / 1GiB				380805120	382279680	322867200	16384	57921536	0	3	1
1788507920.577494429	0.00%	363.2MiB / 1GiB				380805120	382279680	322867200	16384	57921536	0	3	1
1788507922.685778777	66.12%	175.2MiB / 1GiB				183693312	382279680	177455104	16384	3305472	2916352	3	1
