scenario_id,title,kind,target,transport,connections,payload_bytes,throughput_mbps,packets_per_second,offered_packets_per_second,connection_rate_per_second,successful_connections,requested_connections,p99_latency_ms,p99_connect_latency_ms,cpu_avg_percent,cpu_ms_total,cpu_ms_per_operation,cpu_ms_per_connection,peak_memory_bytes,peak_conntrack_count,peak_nf_conntrack_objects,peak_nf_conntrack_bytes,cgroup_memory_current_peak,cgroup_memory_peak_bytes,cgroup_memory_anon_peak_bytes,cgroup_memory_file_peak_bytes,cgroup_memory_kernel_peak_bytes,cgroup_memory_sock_peak_bytes,cgroup_pids_peak,cgroup_threads_peak,host_cpu_ms,host_softirq_ms,error_rate,packet_loss_pct,throughput_pct,pps_pct,connection_rate_pct,active_connections_pct,p99_latency_pct,cpu_pct,memory_pct
tcp_connect_rate_10k,TCP connection rate / 10K connections,tcp_connect_rate,nginx,tcp,10000,1,0.0,0.0,0.0,3313.291648521743,10000.0,10000.0,,,12.08875,1587.4348528772373,,0.15874348528772372,380737945.6,0.0,0.0,0.0,380801024.0,382271488.0,322867200.0,16384.0,57921536.0,2916352.0,3.0,1.0,154320.0,3501780.0,0.0,0.0,,,100.0,,,100.0,100.0
tcp_connect_rate_10k,TCP connection rate / 10K connections,tcp_connect_rate,caddy,tcp,10000,1,0.0,0.0,0.0,2428.295821574752,10000.0,10000.0,,,36.22625,5017.0284061133,,0.50170284061133,723622297.6,0.0,0.0,0.0,723640320.0,743469056.0,665374720.0,4096.0,58212352.0,204800.0,11.0,11.0,166360.0,3577360.0,0.0,0.0,,,73.28952833530847,,,316.04625519087597,190.05783530707794
tcp_connect_rate_10k,TCP connection rate / 10K connections,tcp_connect_rate,raddex-l4,tcp,10000,1,0.0,0.0,0.0,2804.573447649561,10000.0,10000.0,,,29.525,4042.53960586625,,0.404253960586625,256796262.4,0.0,0.0,0.0,256815104.0,265433088.0,199426048.0,0.0,57389056.0,13029376.0,13.0,13.0,161670.0,3545420.0,0.0,0.0,,,84.64613879978988,,,254.65861471663658,67.44698430184522
tcp_connect_rate_10k,TCP connection rate / 10K connections,tcp_connect_rate,nat,tcp,10000,1,0.0,0.0,0.0,3883.2919340952126,10000.0,10000.0,,,2.0557142857142856,2521080.0,,252.108,1011712.0,10002.0,75004.0,19201024.0,1089536.0,16498688.0,106496.0,0.0,1101824.0,0.0,3.0,1.0,150170.0,2521080.0,0.0,0.0,,,117.20344437012602,,,,
tcp_connect_rate_50k,TCP connection rate / 50K connections,tcp_connect_rate,nginx,tcp,50000,1,0.0,0.0,0.0,155.72080424618173,28803.0,50000.0,,,150.85663157894737,291244.23625697015,,10.196913250366576,909220249.6,0.0,0.0,0.0,909262848.0,909496320.0,712220672.0,16384.0,161624064.0,65744896.0,3.0,1.0,2011160.0,16624259.999999998,0.42394,0.0,,,100.0,,,100.0,100.0
tcp_connect_rate_50k,TCP connection rate / 50K connections,tcp_connect_rate,caddy,tcp,50000,1,0.0,0.0,0.0,134.14734803278287,28821.0,50000.0,,,166.7244537815126,387411.47653336363,,13.441985931555589,1073741824.0,0.0,0.0,0.0,1073741824.0,1081401344.0,961445888.0,417792.0,167178240.0,111104000.0,38.0,38.0,2298160.0,21311060.0,0.42357999999999996,0.0,,,86.14606679060493,,,131.82406873052835,118.09479875446891
tcp_connect_rate_50k,TCP connection rate / 50K connections,tcp_connect_rate,raddex-l4,tcp,50000,1,0.0,0.0,0.0,178.35353341057757,32516.0,50000.0,,,144.30451612903227,275753.2449007524,,8.480540192543744,764097331.2,0.0,0.0,0.0,763793408.0,764317696.0,555716608.0,0.0,161116160.0,59502592.0,13.0,13.0,1993920.0,17066600.0,0.34968,0.0,,,114.53417176590956,,,83.16771933152292,84.03874985584132
tcp_connect_rate_50k,TCP connection rate / 50K connections,tcp_connect_rate,nat,tcp,50000,1,0.0,0.0,0.0,711.2636491692426,48548.0,50000.0,,,2.3083673469387755,11902760.0,,245.1750844525006,1375731.712,48166.0,170595.0,43672320.0,4911104.0,17608704.0,5996544.0,0.0,1404928.0,0.0,6.0,1.0,855360.0,11902760.0,0.029039999999999955,0.0,,,456.7556998002614,,,,
tcp_latency_1,TCP p99 latency / 64 B / 1 connection,p99_latency,nginx,tcp,1,64,3.0367232000000004,5931.1,0.0,486.686685712339,1.0,1.0,0.5,2.0,48.288,4828.799999999999,0.08111142958304529,4828.799999999999,178362777.6,0.0,0.0,0.0,178352128.0,178806784.0,177360896.0,16384.0,970752.0,4096.0,3.0,1.0,107320.0,4994100.0,0.0,0.0,,,,,100.0,100.0,100.0
tcp_latency_1,TCP p99 latency / 64 B / 1 connection,p99_latency,caddy,tcp,1,64,2.685952,5246.0,0.0,346.3521327498454,1.0,1.0,0.5,5.0,71.818,7181.799999999999,0.1369004956157072,7181.799999999999,11869880.32,0.0,0.0,0.0,11878400.0,12808192.0,11227136.0,53248.0,647168.0,4096.0,7.0,7.0,106640.0,4460840.0,0.0,0.0,,,,,100.0,168.7807702557415,6.654908877131099
